ORIGIN,DEST,LAT,LONG,WEIGHT
JFK,BOS,42.364347,-71.005181,144
JFK,MCO,28.429394,-81.308994,139
JFK,MIA,25.79325,-80.290556,132
JFK,ATL,33.636719,-84.428067,123
JFK,MSP,44.881956,-93.221767,109
JFK,FLL,26.072583,-80.15275,104
JFK,LAS,36.080056,-115.15225,101
JFK,LAX,33.942536,-118.408075,97
JFK,ORD,41.978603,-87.904842,97
JFK,DTW,42.212444,-83.353389,89
JFK,SJU,18.439417,-66.001833,88
JFK,SFO,37.618972,-122.374889,86
JFK,CVG,39.048836,-84.667822,85
JFK,SEA,47.449,-122.309306,82
JFK,PHX,33.434278,-112.011583,81
JFK,DCA,38.852083,-77.037722,78
JFK,RDU,35.877639,-78.787472,75
JFK,TPA,27.975472,-82.53325,75
JFK,SLC,40.788389,-111.977772,74
JFK,CHS,32.898647,-80.040528,73
JFK,BUF,42.940525,-78.732167,70
JFK,AUS,30.194528,-97.669889,69
JFK,PIT,40.491467,-80.232872,69
JFK,IND,39.717331,-86.294383,66
JFK,CLT,35.214,-80.943139,64
JFK,SAN,32.733556,-117.189667,64
JFK,MEM,35.042417,-89.976667,63
JFK,MSY,29.993389,-90.258028,56
JFK,RSW,26.536167,-81.755167,56
JFK,CLE,41.411689,-81.849794,55
JFK,PBI,26.683161,-80.095589,54
JFK,SYR,43.111187,-76.106311,54
JFK,ROC,43.118866,-77.672389,52
JFK,JAX,30.494056,-81.687861,49
JFK,PHL,39.871944,-75.241139,47
JFK,DEN,39.861656,-104.673178,45
JFK,DFW,32.896828,-97.037997,43
JFK,PDX,45.588722,-122.5975,42
JFK,SAV,32.127583,-81.202139,42
JFK,IAD,38.944533,-77.455811,41
JFK,LGA,40.777245,-73.872608,40
JFK,BWI,39.175361,-76.668333,39
JFK,CMH,39.997972,-82.891889,36
JFK,SDF,38.1740858,-85.7364989,31
JFK,STT,18.337306,-64.973361,29
JFK,ORF,36.894611,-76.201222,25
JFK,SAT,29.533694,-98.469778,24
JFK,BTV,44.471861,-73.153278,23
JFK,EWR,40.6925,-74.168667,21
JFK,SRQ,27.395444,-82.554389,21
JFK,BNA,36.124472,-86.678194,20
JFK,PWM,43.646161,-70.309281,19
JFK,RIC,37.505167,-77.319667,19
JFK,HNL,21.318681,-157.922428,18
JFK,OAK,37.721278,-122.220722,17
JFK,ANC,61.174361,-149.996361,15
JFK,BDL,41.938889,-72.683222,15
JFK,HOU,29.645419,-95.278889,15
JFK,ABQ,35.0402222,-106.6091944,14
JFK,BUR,34.200667,-118.358667,14
JFK,RFD,42.1953611,-89.0972222,14
JFK,SJC,37.3626,-121.929022,13
JFK,BQN,18.494861,-67.129444,12
JFK,LGB,33.817722,-118.151611,12
JFK,MVY,41.391667,-70.615278,12
JFK,PSE,18.008306,-66.563028,12
JFK,SMF,38.695417,-121.590778,12
JFK,ACK,41.253053,-70.060181,11
JFK,MDT,40.193494,-76.763403,8
JFK,RNO,39.499108,-119.768108,8
JFK,MCI,39.297606,-94.713905,7
JFK,STL,38.748697,-90.370028,7
JFK,PSP,33.829667,-116.506694,6
JFK,EGE,39.642556,106.917694,5
JFK,GSO,36.09775,-79.937306,5
JFK,IAH,29.984433,-95.341442,5
JFK,HYA,41.669336,-70.280356,4
JFK,ONT,34.056,-117.601194,4
JFK,BED,42.469953,-71.289031,3
JFK,DAB,29.179917,-81.058056,3
JFK,DAY,39.902375,-84.219375,3
JFK,HPN,41.066959,73.707575,3
JFK,HSV,34.6371944,-86.7750556,3
JFK,OSC,44.451558,-83.394053,3
JFK,PTK,42.667,-83.35,3
JFK,ALB,42.748267,-73.801692,2
JFK,BKL,41.5175,-197.906194,2
JFK,FOK,40.843656,-72.631789,2
JFK,JAC,43.60733333,-110.73775,2
JFK,MDW,41.785972,-87.752417,2
JFK,MHT,42.932556,-71.435667,2
JFK,PSC,46.2647,-119.119,2
JFK,TUL,36.198389,-95.888111,2
JFK,TUS,32.116083,-110.941028,2
JFK,ADW,38.810806,-76.867028,1
JFK,BAF,42.1579472,-72.715875,1
JFK,BDR,41.163472,-73.126167,1
JFK,BHM,33.562942,-202.976411,1
JFK,BOI,43.564361,-116.222861,1
JFK,CAE,33.938833,-81.119528,1
JFK,CHO,38.138639,-78.452861,1
JFK,COS,38.805805,-104.700778,1
JFK,CPS,38.5707244,-90.1562211,1
JFK,DAL,32.847111,-96.851778,1
JFK,ELM,42.159889,-76.891611,1
JFK,ELP,31.80725,-106.377583,1
JFK,EVV,38.036997,-87.532364,1
JFK,FNT,42.965424,-83.743629,1
JFK,GSP,34.895556,-82.218889,1
JFK,ILM,34.270615,-77.902569,1
JFK,ITH,42.491028,-76.458444,1
JFK,JAN,32.311167,-90.075889,1
JFK,LIT,34.729444,-92.224306,1
JFK,MBS,43.532913,-84.079647,1
JFK,MGM,32.3006389,-86.393972,1
JFK,MKE,42.947222,-87.896583,1
JFK,MSN,43.139858,-89.337514,1
JFK,OKC,35.393089,-97.600733,1
JFK,OMA,41.303167,-95.894069,1
JFK,PNS,30.473425,-87.186611,1
JFK,PVC,42.071945,-70.22139,1
JFK,RME,43.2338,-75.407033,1
JFK,SSC,33.972719,-80.470564,1
JFK,SUX,42.402603,-96.384367,1
JFK,YNG,41.260736,-80.679097,1
